semester	supplement_consumed	mean_butyrate	sd_butyrate	n_butyrate
Winter2019	NA	20.88387197781023	5.162283302191356	8
Fall2016	none	19.84649952364238	18.934910311420726	4
Winter2016	Psyllium+BRMPS	18.949002194709056	12.764731162075112	146
Fall2016	BRMPS	18.209451917626197	14.17635847377864	189
Winter2016	BRMPS	17.495609396153476	16.548230463011585	166
Fall2016	Accessible	17.146047622497218	13.132735583825667	212
Fall2016	BRMPS+Accessible	16.723317505088986	17.358836856186834	169
Fall2018	BRMPS	15.37758826700965	11.07775722235237	304
Fall2018	HiMaize+BRMPS	15.1427335267879	9.481136693797112	286
Winter2019	none	14.716895347070956	13.265562865507832	112
Winter2018	BRMPS	14.553489405208383	8.720920102364262	392
Winter2016	Psyllium	14.324859670289165	10.140901627265075	145
Winter2017	Inulin	13.926397053903088	8.660659110115398	186
Winter2017	Accessible	13.496954789220732	7.7687549147484525	86
Fall2018	none	12.975908977938639	8.013493521532022	89
Winter2019	BRMPS	12.348371768383263	9.02102819026544	519
Winter2018	transition_HiMaize	12.097452837896299	6.991620836067748	298
Winter2019	LOODAT	11.534435539108447	6.749720108524024	167
Winter2017	HiMaize	10.869804063525265	6.376214878979135	198
Fall2015	Arabino	10.49729700805472	9.139799925119389	158
Fall2015	Inulin	10.264627709460969	8.153994847851488	171
Winter2015	BRMPS	10.059619575270645	6.474535039286525	130
Fall2015	HiMaize	9.012665835342338	7.188250471127765	145
Winter2018	none	8.625886055194298	5.761418669729978	36
Winter2015	none	6.9839044836136726	3.094793307490636	25
Fall2017	Banana	NaN	NaN	32
Fall2017	BRMPS	NaN	NaN	39
Fall2017	none	NaN	NaN	10
